name,last_names,age,gender,group_index,rank_index
Javier,Valderrama López,26,Masculino,70,6
John,Barrera Ocampo,33,Masculino,160,4
Julia,Castro Sánchez,25,Femenino,240,6
María,González Jaimes,21,Masculino,523,6
María,Herrera Díaz,33,Masculino,138,5
Luz,Sánchez Jaramillo,25,Femenino,495,6
María,Hernández Leal,39,Femenino,679,8
Ovidio,Escobar Galeano,30,Masculino,247,8
Hernán,Quintero Rincón,31,Masculino,543,5
Dora,Gómez Bolaños,41,Femenino,524,3
Cristian,Ríos Vargas,35,Femenino,243,8
Eliana,León Pérez,24,Prefiero no decir,620,7
María,Padilla Mercado,31,Masculino,336,3
José,Rodríguez Saavedra,33,Femenino,422,8
Javier,Díaz Torres,20,Masculino,194,7
Paola,Barrera Pabón,28,Femenino,308,5
Eliana,Salcedo Camacho,29,Masculino,645,6
Ángel,Prieto Martínez,27,Masculino,506,5
Antonio,Garzón Ruiz,49,Masculino,281,2
Cristian,Pacheco Becerra,25,Masculino,675,5
Juliana,Valencia Ramírez,23,Masculino,790,7
María,Parra Fernández,51,Masculino,439,1
Cristina,Caicedo Espitia,28,Masculino,715,5
Diego,Rodríguez Fonseca,23,Masculino,608,5
Kevin,Beltrán Suárez,28,Femenino,483,5
Teresa,Barreto Bautista,29,Masculino,223,8
Javier,Rodríguez Sánchez,36,Femenino,749,5
Felipe,Jiménez Murillo,30,Femenino,117,5
Isabel,Murillo Monsalve,23,Masculino,192,6
Constanza,Torres Mosquera,27,Masculino,788,5
Andrés,Ortiz Morales,29,Femenino,618,4
Israel,Andrade Valencia,36,Masculino,516,5
Isabel,Vera Castro,40,Masculino,530,4
Sergio,Hernández Mena,34,Masculino,307,4
José,Ramos Becerra,38,Masculino,532,5
Paola,Castro Méndez,29,Masculino,122,5
Carolina,Lara Quintero,38,Prefiero no decir,649,8
Nora,Fonseca Camacho,32,Femenino,592,5
Luis,Mesa Cerón,23,Femenino,154,6
Elvia,Zapata Torres,25,Masculino,537,6
Estela,Escobar Rojas,53,No binario,452,1
Rosario,Ospina Palacios,21,Femenino,169,6
Luisa,Romero Cardona,36,Femenino,59,4
Patricia,Melo Murcia,38,Femenino,301,8
Alejandro,Castro Arrieta,32,Masculino,553,4
Paola,Palacios León,29,Femenino,550,5
Ernesto,Salazar Delgado,33,Femenino,117,3
Miguel,Blanco Gaitán,30,No binario,787,8
Julio,Peña Yepes,28,Masculino,782,5
Melissa,Gutiérrez Mantilla,29,Prefiero no decir,127,6
Vanessa,Melo Barrios,36,Masculino,405,3
Paola,Vega Rodríguez,23,Masculino,399,6
Carlos,Muñoz Cifuentes,34,Femenino,515,4
Paola,Monroy Pérez,18,Femenino,498,7
Eduardo,Molina Lozano,25,Femenino,528,4
Aleida,Ruiz Sánchez,29,Masculino,398,4
David,Cárdenas Calderón,46,Masculino,265,2
Joan,Santos Cuéllar,29,Femenino,751,5
Nora,Silva Marín,33,Masculino,263,5
María,Forero Pérez,31,Femenino,398,3
Julián,Méndez Vargas,20,Masculino,646,7
Gilberto,Ávila Zapata,23,Masculino,725,5
Yeimy,Peña Bedoya,31,No binario,527,5
Javier,González Ríos,24,Masculino,436,5
José,Camacho Zapata,29,Femenino,360,5
Edison,Sierra Espitia,30,Masculino,129,5
Susana,Rojas Castillo,33,Masculino,634,4
Jhon,Londoño Medina,25,Femenino,241,4
Helena,Sepúlveda Álvarez,24,Masculino,627,7
Edwin,López Pedraza,30,Femenino,709,8
Julián,Murillo Maldonado,23,Femenino,222,5
Andrés,Mantilla Lozano,38,Femenino,214,4
José,Reyes Rodríguez,27,Femenino,592,6
Edwin,Cárdenas Molina,28,Femenino,775,5
María,López Navarro,52,Femenino,135,2
Eduardo,Morales Muñoz,32,Masculino,754,4
Henry,Hernández Rodríguez,25,Femenino,386,6
Liseth,Rodríguez Vergara,26,Femenino,303,6
Guillermo,Ortiz Buitrago,52,Masculino,782,2
Jhon,Muñoz Valderrama,27,Masculino,287,4
Paula,Romero Contreras,44,Masculino,562,4
María,Molina Martínez,28,Masculino,189,6
María,Acevedo Salas,54,Masculino,297,1
Sofía,Castro Sepúlveda,34,Femenino,526,3
Henry,Medina Díaz,19,Masculino,389,7
Fredy,Cardona Sanabria,36,Femenino,459,4
Johana,Becerra Ospina,26,Femenino,744,6
Yenny,Villamizar Marín,36,Masculino,261,4
Amanda,Barrios Martínez,38,Masculino,704,3
José,Soto Salgado,36,Masculino,715,4
Horacio,Rodríguez Ruiz,18,Femenino,773,6
Rodrigo,Rivera Bolaños,20,Femenino,113,7
Nelson,Sepúlveda Ariza,18,Masculino,36,7
José,Correa Rivera,29,Masculino,79,5
María,Martínez Rojas,28,Masculino,275,6
Juan,Carrillo Rodríguez,31,Femenino,278,4
Sofía,Delgado Arias,27,Masculino,674,5
Jesús,Vargas González,19,Femenino,312,7
Andrea,Monsalve Arias,48,Femenino,529,1
Rosa,Sánchez Vanegas,40,Masculino,204,3
Arbey,Ochoa Ordóñez,38,Femenino,17,4
María,Pinzón Romero,52,Masculino,714,2
Eduardo,Jiménez Rubio,30,Masculino,476,4
Angélica,Díaz Zambrano,27,Masculino,511,6
María,Pérez Yepes,33,Masculino,210,5
Alejandro,Barbosa Correa,24,Masculino,499,7
María,Benítez Rangel,19,Femenino,402,7
María,Castillo González,21,Femenino,429,5
Luis,Camargo Medina,33,Femenino,78,4
Katherin,Ocampo Polo,41,Masculino,568,5
Alberto,Moreno Flórez,21,Prefiero no decir,80,6
Arturo,Gutiérrez Villa,36,Masculino,306,4
Sara,Arteaga Herrera,18,Masculino,58,6
Judith,Marín Rojas,37,Masculino,530,5
Irma,Silva González,22,Femenino,208,5
Lucía,Medina Rodríguez,20,Masculino,511,5
Abelardo,Castro Miranda,30,Femenino,135,5
Jerson,Díaz Soto,33,Masculino,522,8
David,Gómez Gutiérrez,23,Femenino,581,7
María,Rodríguez Arenas,38,Femenino,83,4
María,Sánchez Bravo,18,Femenino,621,7
Lizeth,Gutiérrez Cifuentes,29,Femenino,44,5
Adriana,Osorio Moreno,19,Femenino,483,7
Tania,Ávila Arboleda,18,Masculino,644,7
Enrique,Pérez Osorio,31,Femenino,493,5
David,Cruz Rivera,50,Masculino,499,2
Carlos,Santos González,31,No binario,18,4
Gloria,Monsalve Erazo,28,Femenino,605,5
Jeisson,Gil Torres,24,Masculino,294,6
Luz,Romero Salas,32,Femenino,148,4
Lucía,Ramos Alzate,36,Masculino,472,3
Claudia,Osorio Márquez,19,Masculino,172,7
Gloria,Betancur Vanegas,33,Femenino,563,8
Marisol,Muñoz Alvarado,27,Masculino,531,5
Catalina,Torres León,36,No binario,120,4
Tulio,Cifuentes Solano,32,Masculino,737,4
María,Rivera Suárez,55,Femenino,66,1
Juliana,Mendoza López,29,Femenino,141,8
Marcos,Becerra Sánchez,40,Femenino,446,3
Mayerly,Oviedo Peña,22,Masculino,506,6
Alfonso,Naranjo Trujillo,38,Masculino,189,4
Karol,Salgado López,22,Femenino,158,5
Patricia,Rodríguez Bonilla,24,Femenino,610,6
Arturo,Pedraza Ardila,19,Masculino,670,7
Franco,Pérez Flórez,34,Femenino,246,4
Andrés,Valencia Suárez,46,Prefiero no decir,748,1
Andrés,Zuluaga Franco,37,Femenino,33,3
